program_name,personality_en,personality_ja,guests_en,guests_ja,episode,tag_en,tag_ja,url,start_time,end_time
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,1,"[""test"", ""hoge"", ""fuga""]",,http://cache.rebuild.fm/podcast-ep1-r2.mp3,100,103
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,1,blog,ブログ,http://cache.rebuild.fm/podcast-ep1-r2.mp3,0,79
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,1,podcast,ポッドキャスト,http://cache.rebuild.fm/podcast-ep1-r2.mp3,79,294
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,1,"[""ltsv"", ""apache""]",,http://cache.rebuild.fm/podcast-ep1-r2.mp3,294,730
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,1,HackerNews,ハッカーニュース,http://cache.rebuild.fm/podcast-ep1-r2.mp3,730,829
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,1,,情報収集,http://cache.rebuild.fm/podcast-ep1-r2.mp3,829,994
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,1,cloud,クラウド,http://cache.rebuild.fm/podcast-ep1-r2.mp3,994,1525
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,1,DevOps,,http://cache.rebuild.fm/podcast-ep1-r2.mp3,994,1525
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,1,"[""RubyMotion"", ""mobile""]",モバイル開発,http://cache.rebuild.fm/podcast-ep1-r2.mp3,1525,2297
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,1,"[""SublimeText"", ""emacs"", ""editor""]",エディタ,http://cache.rebuild.fm/podcast-ep1-r2.mp3,2297,2352
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,1,Ruby,,http://cache.rebuild.fm/podcast-ep1-r2.mp3,2352,2456
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,1,Perl,,http://cache.rebuild.fm/podcast-ep1-r2.mp3,2456,3172
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Kentaro Ejima,江島健太郎,2,podcast,ポッドキャスト,http://cache.rebuild.fm/podcast-ep2.mp3,0,75
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Kentaro Ejima,江島健太郎,2,"[""MacBookPro"", ""Apple""]",,http://cache.rebuild.fm/podcast-ep2.mp3,75,180
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Kentaro Ejima,江島健太郎,2,,開発環境,http://cache.rebuild.fm/podcast-ep2.mp3,180,1061
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Kentaro Ejima,江島健太郎,2,RubyonRails,,http://cache.rebuild.fm/podcast-ep2.mp3,746,1200
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Kentaro Ejima,江島健太郎,2,Redis,,http://cache.rebuild.fm/podcast-ep2.mp3,1397,1670
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Kentaro Ejima,江島健太郎,2,heroku,,http://cache.rebuild.fm/podcast-ep2.mp3,1670,1925
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Kentaro Ejima,江島健太郎,2,NewRelic,,http://cache.rebuild.fm/podcast-ep2.mp3,1925,2068
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Kentaro Ejima,江島健太郎,2,AWS,,http://cache.rebuild.fm/podcast-ep2.mp3,2068,2384
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Kentaro Ejima,江島健太郎,2,DegitalOcean,,http://cache.rebuild.fm/podcast-ep2.mp3,2512,2876
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,"[""Sadayuki Furuhashi"", ""Kiyoto""]","[""古橋貞之"", ""Kiyoto""]",3,MessagePack,,http://cache.rebuild.fm/podcast-ep3.mp3,0,2210
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,"[""Sadayuki Furuhashi"", ""Kiyoto""]","[""古橋貞之"", ""Kiyoto""]",3,discussion,"[""日本語"", ""議論"", ""ディスカッション""]",http://cache.rebuild.fm/podcast-ep3.mp3,637,1045
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,"[""Sadayuki Furuhashi"", ""Kiyoto""]","[""古橋貞之"", ""Kiyoto""]",3,TreasureData,,http://cache.rebuild.fm/podcast-ep3.mp3,2210,2439
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Satoru Takabayashi,高林哲,4,"[""blog"", ""Google+""]",ブログ,http://cache.rebuild.fm/podcast-ep4.mp3,0,332
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Satoru Takabayashi,高林哲,4,YakShaving,,http://cache.rebuild.fm/podcast-ep4.mp3,332,1008
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Satoru Takabayashi,高林哲,4,refactoring,リファクタリング,http://cache.rebuild.fm/podcast-ep4.mp3,815,1008
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Satoru Takabayashi,高林哲,4,"[""C++"", ""comunity""]",コミュニティ,http://cache.rebuild.fm/podcast-ep4.mp3,1008,1159
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Satoru Takabayashi,高林哲,4,,生産性,http://cache.rebuild.fm/podcast-ep4.mp3,1159,1395
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Satoru Takabayashi,高林哲,4,,サンフランシスコ,http://cache.rebuild.fm/podcast-ep4.mp3,1395,1864
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Satoru Takabayashi,高林哲,4,review,レビュー,http://cache.rebuild.fm/podcast-ep4.mp3,1591,1864
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Yukihiro Matsumoto,まつもとゆきひろ,5,Ruby,,http://cache.rebuild.fm/podcast-ep5.mp3,0,2112
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,6,,"[""電子出版"", ""電子書籍""]",http://cache.rebuild.fm/podcast-ep6.mp3,0,1352
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Naoya Ito,伊藤直也,6,"[""GoogleReader"", ""RSS""]",,http://cache.rebuild.fm/podcast-ep6.mp3,1352,2480
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Yusuke Wada,和田裕介,7,Perl,,http://cache.rebuild.fm/podcast-ep7.mp3,0,652
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Yusuke Wada,和田裕介,7,blog,ブログ,http://cache.rebuild.fm/podcast-ep7.mp3,105,249
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Yusuke Wada,和田裕介,7,Plagger,,http://cache.rebuild.fm/podcast-ep7.mp3,249,652
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Yusuke Wada,和田裕介,7,,自宅サーバ,http://cache.rebuild.fm/podcast-ep7.mp3,652,736
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Yusuke Wada,和田裕介,7,,仕事環境,http://cache.rebuild.fm/podcast-ep7.mp3,736,1094
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Yusuke Wada,和田裕介,7,,電子出版,http://cache.rebuild.fm/podcast-ep7.mp3,1094,1342
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Yusuke Wada,和田裕介,7,"[""Perl"", ""framework"", ""Plack""]",フレームワーク,http://cache.rebuild.fm/podcast-ep7.mp3,1342,1730
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,Yusuke Wada,和田裕介,7,YAPC,,http://cache.rebuild.fm/podcast-ep7.mp3,1730,2406
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,"[""Naoya Ito"", ""Satoru Takabayashi""]","[""伊藤直也"", ""高林哲""]",8,CTO,"[""海外"", ""キャリアパス""]",http://cache.rebuild.fm/podcast-ep8.mp3,0,169
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,"[""Naoya Ito"", ""Satoru Takabayashi""]","[""伊藤直也"", ""高林哲""]",8,,面接,http://cache.rebuild.fm/podcast-ep8.mp3,169,292
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,"[""Naoya Ito"", ""Satoru Takabayashi""]","[""伊藤直也"", ""高林哲""]",8,Screencast,スクリーンキャスト,http://cache.rebuild.fm/podcast-ep8.mp3,292,694
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,"[""Naoya Ito"", ""Satoru Takabayashi""]","[""伊藤直也"", ""高林哲""]",8,,ペアプログラミング,http://cache.rebuild.fm/podcast-ep8.mp3,694,918
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,"[""Naoya Ito"", ""Satoru Takabayashi""]","[""伊藤直也"", ""高林哲""]",8,emacs,,http://cache.rebuild.fm/podcast-ep8.mp3,728,1103
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,"[""Naoya Ito"", ""Satoru Takabayashi""]","[""伊藤直也"", ""高林哲""]",8,,"[""環境設定"", ""中年の危機""]",http://cache.rebuild.fm/podcast-ep8.mp3,918,1103
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,"[""Naoya Ito"", ""Satoru Takabayashi""]","[""伊藤直也"", ""高林哲""]",8,,英語,http://cache.rebuild.fm/podcast-ep8.mp3,1103,1610
rebuild.fm,Tatsuhiko Miyagawa,宮川達彦,"[""Kenta Murata"", ""Ryo Nakamura""]","[""Kenta Murata"", ""Ryo Nakamura""]",10,"[""RubyonRails"", ""RailsConf""]",,http://cache.rebuild.fm/podcast-ep10.mp3,0,470
