program_id,episode_no,episode_type,tag_en,tag_ja,start_time,end_time
2,51,regular,"[""OP""]",,0,20
2,51,regular,"[""Periscope""]","[""配信環境""]",21,100
2,51,regular,"[""Go""]","[""イベント"",""登壇""]",101,784
2,51,regular,"[""Rebuild.fm""]",,785,813
2,51,regular,,"[""最近のお便り"",""飯テロ""]",814,944
2,51,regular,"[""note"",""SoundCloud""]","[""最近のお便り"",""配信環境""]",945,1241
2,51,regular,,"[""ラーメン"",""今日の一杯"",""航海屋""]",1242,1477
2,51,regular,"[""ED""]",,1478,1610
2,52,regular,"[""OP""]",,0,22
2,52,regular,"[""JSON"",""Elasticsearch""]",,23,559
2,52,regular,,"[""プレゼンテーション""]",560,1332
2,52,regular,,"[""漫画"",""アニメ"",""僕だけがいない街""]",1333,1625
2,52,regular,,"[""最近のお便り""]",1626,1721
2,52,regular,,"[""ラーメン"",""今日の一杯"",""鶴一家""]",1722,1941
2,52,regular,"[""ED""]","[""イベント""]",1942,2167
